FS_PERM_SEC_ID,FF_MKT_VAL_CURR,DATE,FF_FPNC,FF_SALES,FF_OPER_EXP_TOT,FF_CASH_ST,FF_CASH_ONLY,FF_INVEN,FF_ASSETS_CURR,FF_INTANG,FF_ASSETS,FF_LIABS_CURR,FF_DEBT_ST,FF_PAY_ACCT,FF_DEBT_LT,FF_COM_EQ,FF_DEBT,FF_SHLDRS_EQ,FF_WKCAP_CHG,FF_DIV_CF,FF_BPS,FF_COM_SHS_OUT,FF_PPE_NET,FF_RECEIV_ST,FF_DIV_PAY_OUT_PS,FF_AMORT_CF,FF_COM_EQ_RETAIN_EARN,FF_DEP_EXP,FF_GW,FF_PENS_EXP_NPP_NET,FF_DEBT_ST_NOTES_PAY,FF_DIV_COM_CF,FF_DEBT_LT_REDUCT_CF,FF_COGS_XDEP,FF_DEP_AMORT_EXP,FF_RD_EXP,FF_COGS,FF_INT_EXP_NET,FF_NET_INC,FF_LIABS,FF_OPER_CF,FF_CAPEX,FF_EBITDA_OPER,FF_SGA,FF_EBIT_OPER,FF_WKCAP
HKS27K-S-US,94.1031,20101231,201012,28.056,24.165,,,,,16.695,480.524,,17.275,,13.447,54.313,30.722,54.313,1.678,1.572,15.017,3.61676752506,12.525,,57.8282526399681,,6.952,,13.728,,,1.572,13.525,,2.076,,,1.052,2.711,426.211,9.225,1.51,,,,
T1N9J9-S-US,1458.45,20101231,201012,287.317,226.841,,,,,88.955,4445.281,,156.275,,114.222,486.383,270.497,486.383,10.118,20.595,18.29189,26.59009003309,112.019,,49.998647539875,,157.875,,83.329,,,15.076,11.134,,22.039,,,7.724,41.244,3958.898,93.193,4.365,,,,
MMCW7F-S,,20101231,201012,9.10557,4.439257,1.513152,1.513152,0,,2.055657,39.715994,,0.979334,,39.935544,-4.821116,40.914878,-4.821116,-0.038438,4.615783,-6695.99444,0.00072,0,0.06,,0.501706,-4.821116,1.005398,0,,,4.615783,0.926822,0.206823,1.507104,,1.713927,2.629466,4.666313,44.53711,6.134979,3.029299,8.80288,0.092264,7.29578,
WHQNFK-S-US,1612.28,20100531,201005,1352.151,1261.931,79.37,79.37,370.282,863.429,169.428,1501.042,325.55,100.833,114.906,336.191,746.906,437.024,746.906,63.97,,18.91668,39.484,334.43,238.466,0,4.567,419.287,34.363,111.544,2.45,,,25.581,1069.702,38.93,,1108.632,26.832,44.628,754.692,153.156,28.855,129.15,153.299,90.22,537.879
RK3780-S-US,3182.1,20101231,201012,1876.847,1682.086,72.022,72.022,814.484,956.168,206.211,1548.111,226.478,13.339,213.139,28.451,979.417,41.79,979.417,-687.452,2.929,12.22935,80.087395,204.912,69.662,3.3793103098692,3.1,809.084,42.327,202.379,,,2.929,15.683,858.036,45.427,0,903.463,3.096,118.376,568.694,49.261,87.636,240.188,732.123,194.761,729.69
R4RPP0-S-US,,20101231,201012,83.362422,69.751509,10.635678,10.635678,12.498862,32.691984,0.030402,33.630711,9.235984,0.019344,3.51526,0,24.394727,0.019344,24.394727,,,540301.27864,0.00004515023,0.666351,7.575841,0,,23.802953,,0,,,,,51.879381,0,0,51.879381,0.035501,8.675014,9.235984,,,13.61091,17.872128,13.61091,23.456
Q1KJQ2-S-US,114361,20101231,201012,35166.721,28176.94,7323.94,5520.861,3188.734,22317.529,28081.705,59462.266,17262.434,6394.766,1535.759,12523.517,22388.135,18918.283,22388.135,658.784,2671.475,14.47212,1546.983948,7970.956,7184.034,59.4594594594595,1416.855,18927.101,1207.45,15930.077,278,,2671.475,1673.998,11948.887,2624.305,3572.424,14573.192,801.135,4613,36985.802,8735.981,1015.075,9614.086,13603.748,6989.781,5055.095
D68LVD-S-US,2323.29,20101231,201012,154.319,176.154,,,,,5.217,2992.084,,80.198,,73.75,223.286,153.948,273.407,4.474,2.657,9.44257,23.646737,66.589,,0,,37,,0.956,,,0.021,2,,4.329,,,1.147,-3.989,2718.677,45.01,5.061,,,,
DF3N8D-S-US,16923.2,20100331,201003,85.713,110.789,58.265,4.788,9.211,82.668,40.149,129.57,18.064,0,3.764,0,107.956,0,107.956,3.564,0,2.88397,37.433064,6.753,13.516,0,1.469,-263.015,3.429,37.17,,,0,0,22.529,4.898,22.525,27.427,0,-19.024,21.614,-7.362,1.8,-20.178,83.362,-25.076,64.604
L7GJB9-S-US,2045.89,20101031,201010,3495.747,3384.608,39.446,39.446,0,608.756,659.757,1548.67,333.851,0,78.928,140.5,739.025,140.5,739.025,16.22,28.152,14.04047,52.635343,58.088,476.053,44.6280991735537,11.364,547.944,24.951,593.983,0.394,,28.152,487.935,3109.067,36.315,,3145.382,4.639,63.87,809.645,149.864,23.942,147.454,239.226,111.139,274.905
